x,y,z
water,water,1.0
water,food,0.3519234839128919
water,shelter,0.20823258158323166
water,clothing,0.1002088753290878
water,money,0.026509639865004448
food,water,0.3519234839128919
food,food,1.0
food,shelter,0.22940976227928286
food,clothing,0.1973639393590783
food,money,0.0538440747163522
shelter,water,0.20823258158323166
shelter,food,0.22940976227928286
shelter,shelter,1.0
shelter,clothing,0.16599716169060355
shelter,money,0.03825798741377934
clothing,water,0.1002088753290878
clothing,food,0.1973639393590783
clothing,shelter,0.16599716169060355
clothing,clothing,1.0
clothing,money,0.05291833861243978
money,water,0.026509639865004448
money,food,0.0538440747163522
money,shelter,0.03825798741377934
money,clothing,0.05291833861243978
money,money,1.0
